id,generador,pid,Nombre
1,0,38476,Luis
2,0,38476,Marta
3,0,38476,Luis
4,0,38476,Juan
5,0,38476,Sofia
6,0,38476,Pedro
7,0,38476,Juan
8,0,38476,Ana
9,0,38476,Juan
10,0,38476,Luis
11,0,38476,Pedro
12,0,38476,Diego
13,0,38476,Luis
21,1,38477,Luis
14,0,38476,Clara
22,1,38477,Marta
23,1,38477,Marta
24,1,38477,Ana
25,1,38477,Pedro
15,0,38476,Diego
26,1,38477,Ana
16,0,38476,Luis
27,1,38477,Juan
28,1,38477,Luis
29,1,38477,Ana
17,0,38476,Luis
18,0,38476,Sofia
30,1,38477,Diego
19,0,38476,Juan
20,0,38476,Ana
